date,region_id,avg_5min_demand,daily_peak,daily_min,total_daily_energy_mwh
2025-01-25,SA1,1090.6352777777777,1724.21,246.28,78525.73999999999
2025-01-25,TAS1,959.9007986111111,1048.5,886.47,69112.8575
2025-01-25,VIC1,3796.382465277778,5372.73,1940.47,273339.5375
2025-01-26,NSW1,6814.081354166667,9034.33,5285.05,490613.8575
2025-01-26,QLD1,6711.916666666667,8598.71,5566.29,483258.0
2025-01-26,SA1,1376.948298611111,2311.6,534.28,99140.2775
2025-01-26,TAS1,915.8560416666667,1020.3,804.73,65941.635
2025-01-26,VIC1,3754.79875,5687.12,1771.24,270345.51
2025-01-27,NSW1,7968.189444444444,12128.62,6091.59,573709.6399999999
2025-01-27,QLD1,6834.590069444444,8841.07,5919.99,492090.485
2025-01-27,SA1,1609.178263888889,2028.53,1221.13,115860.83499999999
2025-01-27,TAS1,946.8330555555556,1104.14,848.6,68171.98
2025-01-27,VIC1,5080.582430555555,8733.41,3272.48,365801.93499999994
2025-01-28,NSW1,9075.372465277776,12078.8,6885.91,653426.8174999999
2025-01-28,QLD1,6986.750138888889,9504.93,5558.02,503046.01
2025-01-28,SA1,1245.1444097222222,1709.49,416.38,89650.39749999999
2025-01-28,TAS1,973.8646180555556,1105.8,872.14,70118.2525
2025-01-28,VIC1,4257.453125,5666.66,2861.11,306536.625
2025-01-29,NSW1,7504.860347222222,9156.74,6409.42,540349.945
2025-01-29,QLD1,7156.476354166667,9464.41,6052.92,515266.2975
2025-01-29,SA1,1103.608263888889,1689.79,182.93,79459.795
2025-01-29,TAS1,1016.5131597222222,1126.66,915.86,73188.9475
2025-01-29,VIC1,4064.5143749999997,5620.17,2669.96,292645.035
2025-01-30,NSW1,7722.807916666667,9385.95,6168.56,556042.1699999999
2025-01-30,QLD1,7132.847916666667,9374.82,5817.09,513565.04999999993
2025-01-30,SA1,1115.9185416666667,1695.96,264.88,80346.135
2025-01-30,TAS1,1005.2082986111111,1125.37,895.38,72374.9975
2025-01-30,VIC1,4226.517222222222,5618.05,2515.81,304309.24
2025-01-31,NSW1,7492.564965277777,9661.75,6258.91,539464.6775
2025-01-31,QLD1,7309.055833333334,9335.6,6194.45,526252.02
2025-01-31,SA1,1173.9725347222222,1774.34,289.17,84526.02249999999
2025-01-31,TAS1,1013.0323958333333,1111.99,916.46,72938.33249999999
2025-01-31,VIC1,4247.6187152777775,5841.01,2600.14,305828.5475
2025-02-01,NSW1,7034.512717770035,8674.47,5808.45,504726.2875
2025-02-01,QLD1,6764.363031358886,8449.71,5529.18,485343.0475
2025-02-01,SA1,1373.912961672474,2216.05,608.99,98578.255
2025-02-01,TAS1,954.5856097560975,1063.21,826.92,68491.51749999999
2025-02-01,VIC1,4696.00763066202,7926.25,2416.72,336938.5475
2025-02-02,NSW1,6843.860590277777,9247.88,5193.17,492757.96249999997
2025-02-02,QLD1,6326.7728472222225,8204.34,4701.78,455527.645
2025-02-02,SA1,1684.4983333333334,2742.82,944.67,121283.88
2025-02-02,TAS1,938.6675694444444,1155.97,818.53,67584.065
2025-02-02,VIC1,5791.518368055556,9432.54,3982.03,416989.3225
2025-02-03,NSW1,8031.336805555556,10940.4,6343.54,578256.25
2025-02-03,QLD1,6872.873159722222,8836.79,5927.14,494846.8675
2025-02-03,SA1,2136.9431944444445,3150.17,1656.3,153859.90999999997
